date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2023-12-19,ZA180RV5,ST8000NM0055,8001563222016.0,1,79.0,78553952.0,89.0,0.0,100.0,31.0,100.0,48.0,96.0,3707485874.0,37.0,55742.0,100.0,0.0,100.0,31.0,76.0,24.0,100.0,0.0,60.0,40.0,100.0,36.0,65.0,71020.0,40.0,40.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,55654.0,100.0,97920147000.0,100.0,512304778278.0
2023-12-16,ZLW17S54,ST14000NM001G,14000519643136.0,1,79.0,88064800.0,90.0,0.0,100.0,10.0,100.0,8.0,88.0,688876731.0,69.0,27770.0,100.0,0.0,100.0,10.0,89.0,11.0,100.0,0.0,70.0,30.0,100.0,3.0,99.0,2751.0,30.0,30.0,100.0,280.0,100.0,280.0,200.0,0.0,100.0,26885.0,100.0,131173420088.0,100.0,553974294070.0
2023-12-16,ZHZ4WMSE,ST12000NM0008,12000138625024.0,1,77.0,45782480.0,90.0,0.0,100.0,10.0,83.0,16168.0,85.0,312606682.0,61.0,34954.0,100.0,0.0,100.0,10.0,99.0,1.0,100.0,65537.0,61.0,39.0,100.0,2.0,95.0,10444.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,32896.0,100.0,115300040752.0,100.0,472393377052.0
2023-12-15,Z305DHTQ,ST4000DM000,4000787030016.0,1,114.0,60556136.0,91.0,0.0,100.0,10.0,99.0,1384.0,88.0,783379430.0,22.0,68422.0,100.0,0.0,100.0,10.0,25.0,75.0,100.0,0.0,69.0,31.0,100.0,0.0,75.0,51662.0,31.0,31.0,99.0,176.0,99.0,176.0,200.0,0.0,100.0,68046.0,100.0,58976793624.0,100.0,462166798708.0
2023-12-15,ZLW18EHG,ST14000NM001G,14000519643136.0,1,69.0,56549712.0,90.0,0.0,100.0,10.0,94.0,28712.0,88.0,675813843.0,69.0,27743.0,100.0,0.0,100.0,10.0,1.0,135.0,100.0,0.0,66.0,34.0,100.0,2.0,99.0,2737.0,34.0,34.0,99.0,688.0,99.0,688.0,200.0,0.0,100.0,26862.0,100.0,129002749992.0,100.0,522910216872.0
2023-12-15,ZL005E1T,ST12000NM0008,12000138625024.0,1,78.0,242199880.0,94.0,0.0,100.0,5.0,100.0,664.0,89.0,748486104.0,67.0,29097.0,100.0,0.0,100.0,5.0,97.0,3.0,100.0,0.0,72.0,28.0,100.0,1.0,100.0,1393.0,28.0,28.0,100.0,24.0,100.0,24.0,200.0,0.0,100.0,28901.0,100.0,93474155360.0,100.0,300082655694.0
2023-12-14,ZJV4SYBE,ST12000NM0007,12000138625024.0,1,83.0,205729568.0,90.0,0.0,100.0,21.0,82.0,7232.0,89.0,868907594.0,58.0,37107.0,100.0,0.0,100.0,20.0,1.0,141.0,100.0,0.0,63.0,37.0,100.0,444.0,99.0,2047.0,37.0,37.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,36807.0,100.0,110776194944.0,100.0,555201529154.0
2023-12-14,ZHZ3MC58,ST12000NM0008,12000138625024.0,1,69.0,95821776.0,90.0,0.0,100.0,22.0,100.0,112.0,84.0,278042903.0,59.0,36217.0,100.0,0.0,100.0,22.0,89.0,11.0,100.0,0.0,71.0,29.0,100.0,379.0,100.0,1812.0,29.0,29.0,100.0,280.0,100.0,280.0,200.0,0.0,100.0,35986.0,100.0,112288017768.0,100.0,450064324890.0
2023-12-13,ZA13YP5J,ST8000DM002,8001563222016.0,1,79.0,79022888.0,84.0,0.0,100.0,20.0,98.0,8056.0,94.0,2606096844.0,31.0,60447.0,100.0,0.0,100.0,20.0,99.0,1.0,100.0,0.0,58.0,42.0,100.0,7.0,63.0,75641.0,42.0,42.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,60352.0,100.0,107837242528.0,100.0,546033179366.0
2023-12-13,ZA1390BG,ST8000NM0055,8001563222016.0,1,75.0,106325024.0,85.0,0.0,100.0,15.0,86.0,55945.0,94.0,2520190798.0,35.0,57242.0,100.0,0.0,100.0,15.0,1.0,175.0,100.0,0.0,66.0,34.0,100.0,5.0,65.0,71798.0,34.0,34.0,100.0,104.0,100.0,104.0,200.0,0.0,100.0,57207.0,100.0,102397922280.0,100.0,456446583830.0
2023-12-13,ZA181ABX,ST8000NM0055,8001563222016.0,1,81.0,131595040.0,89.0,0.0,100.0,18.0,100.0,96.0,93.0,1878838661.0,36.0,56278.0,100.0,0.0,100.0,18.0,100.0,0.0,100.0,0.0,58.0,42.0,100.0,44.0,72.0,57041.0,42.0,42.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,56215.0,100.0,101316316488.0,100.0,503515630706.0
2023-12-13,ZA180R1A,ST8000NM0055,8001563222016.0,1,72.0,108034512.0,89.0,0.0,100.0,14.0,100.0,64.0,93.0,1823661850.0,36.0,56274.0,100.0,0.0,100.0,14.0,97.0,3.0,100.0,0.0,63.0,37.0,100.0,30.0,65.0,71879.0,37.0,37.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,56219.0,100.0,100860944664.0,100.0,511229966586.0
2023-12-13,ZLW18RM8,ST14000NM001G,14000519643136.0,1,79.0,76306224.0,90.0,0.0,100.0,9.0,100.0,32.0,87.0,508801413.0,69.0,27727.0,100.0,0.0,100.0,9.0,9.0,91.0,100.0,0.0,62.0,38.0,100.0,0.0,99.0,2699.0,38.0,38.0,100.0,440.0,100.0,440.0,200.0,0.0,100.0,26871.0,100.0,130532880192.0,100.0,513589804952.0
2023-12-13,ZHZ2KWN2,ST12000NM0008,12000138625024.0,1,100.0,422376.0,90.0,0.0,100.0,22.0,100.0,72.0,71.0,13539534.0,59.0,36186.0,100.0,0.0,100.0,22.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,408.0,100.0,1793.0,30.0,30.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,35955.0,100.0,112901676000.0,100.0,419326288298.0
2023-12-13,ZHZ3KS8M,ST12000NM0008,12000138625024.0,1,76.0,35971624.0,90.0,0.0,100.0,8.0,100.0,280.0,81.0,126176291.0,59.0,36238.0,100.0,0.0,100.0,8.0,55.0,45.0,100.0,0.0,65.0,35.0,100.0,314.0,99.0,2355.0,35.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,35886.0,100.0,119229769008.0,100.0,462839706724.0
2023-12-12,Z305EP1G,ST4000DM000,4000787030016.0,1,117.0,150039656.0,92.0,0.0,100.0,14.0,100.0,0.0,89.0,896326254.0,22.0,68376.0,100.0,0.0,100.0,14.0,92.0,8.0,100.0,0.0,72.0,28.0,100.0,0.0,74.0,53128.0,28.0,28.0,100.0,8.0,100.0,8.0,200.0,0.0,100.0,68016.0,100.0,59143311144.0,100.0,501561632483.0
2023-12-12,ZA12P8DY,ST8000DM002,8001563222016.0,1,100.0,215984.0,89.0,0.0,100.0,6.0,100.0,424.0,91.0,1269041746.0,27.0,64566.0,100.0,0.0,100.0,6.0,98.0,2.0,100.0,0.0,68.0,32.0,100.0,5.0,85.0,31890.0,32.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,64496.0,100.0,113801419408.0,100.0,549466171928.0
2023-12-12,ZA13QZS7,ST8000DM002,8001563222016.0,1,78.0,66028128.0,84.0,0.0,100.0,32.0,100.0,0.0,95.0,3130551135.0,30.0,61657.0,100.0,0.0,100.0,32.0,77.0,23.0,100.0,0.0,69.0,31.0,100.0,2.0,64.0,72334.0,31.0,31.0,100.0,24.0,100.0,24.0,200.0,0.0,100.0,61512.0,100.0,110796805128.0,100.0,473207220750.0
