Model,tp,tn,fp,fn,day,tpr,fpr,fdr,accuracy
MLP,2072,2307,373,651,0,0.76092545,0.139179104,0.152556237,0.810475662
MLP,1947,2247,370,726,1,0.728395062,0.141383263,0.159689253,0.792816635
MLP,1940,2223,391,734,2,0.725504862,0.149579189,0.167739168,0.78725416
MLP,1835,2169,482,829,7,0.688813814,0.181818182,0.208027622,0.753339605
