Model,tp,tn,fp,fn,day,tpr,fpr,fdr,accuracy
LRC,1632,2573,107,1091,0,0.599338964,0.039925373,0.061529615,0.778271331
LRC,1513,2471,146,1160,1,0.566030677,0.055789071,0.088004822,0.753119093
LRC,1557,2420,194,1117,2,0.582273747,0.074215761,0.110793832,0.752080182
LRC,1350,2478,173,1314,7,0.506756757,0.065258393,0.113591596,0.720225776
