Model,tp,tn,fp,fn,day,tpr,fpr,fdr,accuracy
Decision Tree,2099,2575,134,666,0,0.759132007,0.049464747,0.060008957,0.853854585
Decision Tree,2028,2430,205,692,1,0.745588235,0.077798861,0.091804747,0.832492997
Decision Tree,1873,2479,176,822,2,0.694990724,0.066290019,0.085895559,0.813457944
Decision Tree,1911,2334,311,816,7,0.700770077,0.11758034,0.139963996,0.790208488
