date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw
2023-12-25,ZA180RV5,ST8000NM0055,8001563222016.0,0.0,76.0,42487472.0,89.0,0.0,100.0,31.0,100.0,48.0,96.0,3749725260.0,37.0,55882.0,100.0,0.0,100.0,31.0,76.0,24.0,100.0,0.0,60.0,40.0,100.0,36.0,65.0,71208.0,40.0,40.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,55794.0,100.0,98028660952.0,100.0,513385814910.0
2023-12-22,ZLW17S54,ST14000NM001G,14000519643136.0,0.0,82.0,176604752.0,90.0,0.0,100.0,10.0,100.0,8.0,89.0,713149669.0,69.0,27913.0,100.0,0.0,100.0,10.0,89.0,11.0,100.0,0.0,70.0,30.0,100.0,3.0,99.0,2757.0,30.0,30.0,100.0,296.0,100.0,296.0,200.0,0.0,100.0,27028.0,100.0,131468609552.0,100.0,555232488598.0
2023-12-22,ZHZ4WMSE,ST12000NM0008,12000138625024.0,0.0,80.0,91275952.0,90.0,0.0,100.0,10.0,80.0,19520.0,85.0,349908574.0,60.0,35109.0,100.0,0.0,100.0,10.0,98.0,2.0,100.0,65537.0,60.0,40.0,100.0,2.0,95.0,10451.0,40.0,40.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,33051.0,100.0,115724768464.0,100.0,474211409916.0
2023-12-21,Z305DHTQ,ST4000DM000,4000787030016.0,0.0,115.0,87718440.0,91.0,0.0,100.0,10.0,99.0,1672.0,88.0,790468256.0,22.0,68563.0,100.0,0.0,100.0,10.0,13.0,87.0,100.0,0.0,67.0,33.0,100.0,0.0,75.0,51664.0,33.0,33.0,99.0,208.0,99.0,208.0,200.0,0.0,100.0,68188.0,100.0,58982807472.0,100.0,463191052781.0
2023-12-21,ZLW18EHG,ST14000NM001G,14000519643136.0,0.0,70.0,185223088.0,90.0,0.0,100.0,10.0,92.0,37880.0,88.0,701567776.0,69.0,27886.0,100.0,0.0,100.0,10.0,1.0,156.0,100.0,0.0,66.0,34.0,100.0,2.0,99.0,2743.0,34.0,34.0,99.0,832.0,99.0,832.0,200.0,0.0,100.0,27005.0,100.0,129341273736.0,100.0,524165210552.0
2023-12-21,ZL005E1T,ST12000NM0008,12000138625024.0,0.0,75.0,32000544.0,94.0,0.0,100.0,5.0,100.0,752.0,89.0,769841751.0,67.0,29240.0,100.0,0.0,100.0,5.0,84.0,16.0,100.0,4295098370.0,71.0,29.0,100.0,1.0,100.0,1399.0,29.0,29.0,100.0,80.0,100.0,80.0,200.0,0.0,100.0,29043.0,100.0,93960866912.0,100.0,301338871152.0
2023-12-20,ZJV4SYBE,ST12000NM0007,12000138625024.0,0.0,77.0,54134216.0,90.0,0.0,100.0,21.0,78.0,22816.0,90.0,899881205.0,58.0,37262.0,100.0,0.0,100.0,20.0,1.0,168.0,100.0,0.0,61.0,39.0,100.0,448.0,99.0,2054.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,36963.0,100.0,111058597768.0,100.0,556964802722.0
2023-12-20,ZHZ3MC58,ST12000NM0008,12000138625024.0,0.0,83.0,196083952.0,90.0,0.0,100.0,22.0,100.0,200.0,85.0,296889782.0,59.0,36358.0,100.0,0.0,100.0,22.0,89.0,11.0,100.0,0.0,70.0,30.0,100.0,380.0,100.0,1817.0,30.0,30.0,85.0,7648.0,85.0,7648.0,200.0,0.0,100.0,36126.0,100.0,112538669368.0,100.0,451622920970.0
2023-12-19,ZA13YP5J,ST8000DM002,8001563222016.0,0.0,41.0,14642264.0,84.0,0.0,100.0,20.0,93.0,30400.0,94.0,2635985829.0,31.0,60589.0,100.0,0.0,100.0,20.0,77.0,23.0,100.0,0.0,58.0,42.0,100.0,7.0,63.0,75767.0,42.0,42.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,60493.0,100.0,108003647192.0,100.0,547519219310.0
2023-12-19,ZA1390BG,ST8000NM0055,8001563222016.0,0.0,71.0,176497128.0,85.0,0.0,100.0,15.0,86.0,57161.0,94.0,2543398095.0,35.0,57384.0,100.0,0.0,100.0,15.0,1.0,187.0,100.0,0.0,66.0,34.0,100.0,5.0,65.0,71798.0,34.0,34.0,100.0,112.0,100.0,112.0,200.0,0.0,100.0,57349.0,100.0,102415968672.0,100.0,457477211054.0
2023-12-19,ZA181ABX,ST8000NM0055,8001563222016.0,0.0,63.0,80675048.0,89.0,0.0,100.0,18.0,98.0,9384.0,90.0,906465728.0,36.0,56421.0,100.0,0.0,100.0,18.0,75.0,25.0,100.0,0.0,58.0,42.0,100.0,44.0,72.0,57088.0,42.0,42.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,56358.0,100.0,101486772016.0,100.0,505007050506.0
2023-12-19,ZA180R1A,ST8000NM0055,8001563222016.0,0.0,72.0,230018128.0,89.0,0.0,100.0,14.0,100.0,1448.0,93.0,1860046126.0,36.0,56432.0,100.0,0.0,100.0,14.0,97.0,3.0,100.0,0.0,64.0,36.0,100.0,30.0,64.0,72048.0,36.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,56377.0,100.0,101055972440.0,100.0,512624114610.0
2023-12-19,ZLW18RM8,ST14000NM001G,14000519643136.0,0.0,74.0,143937176.0,90.0,0.0,100.0,9.0,100.0,40.0,87.0,529050684.0,69.0,27870.0,100.0,0.0,100.0,9.0,1.0,107.0,100.0,0.0,62.0,38.0,100.0,0.0,99.0,2705.0,38.0,38.0,100.0,512.0,100.0,512.0,200.0,0.0,100.0,27014.0,100.0,130851548344.0,100.0,514803613488.0
2023-12-19,ZHZ2KWN2,ST12000NM0008,12000138625024.0,0.0,80.0,105097080.0,90.0,0.0,100.0,22.0,100.0,72.0,75.0,33524629.0,59.0,36342.0,100.0,0.0,100.0,22.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,409.0,100.0,1800.0,31.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,36110.0,100.0,113122293000.0,100.0,420919331082.0
2023-12-19,ZHZ3KS8M,ST12000NM0008,12000138625024.0,0.0,56.0,204100008.0,90.0,0.0,100.0,8.0,100.0,3184.0,82.0,144584155.0,59.0,36379.0,100.0,0.0,100.0,8.0,1.0,140.0,100.0,131074.0,66.0,34.0,100.0,315.0,99.0,2361.0,34.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,36026.0,100.0,119414494904.0,100.0,463799672060.0
2023-12-18,Z305EP1G,ST4000DM000,4000787030016.0,0.0,119.0,204249152.0,92.0,0.0,100.0,14.0,100.0,0.0,89.0,904085871.0,22.0,68518.0,100.0,0.0,100.0,14.0,92.0,8.0,100.0,0.0,70.0,30.0,100.0,0.0,74.0,53129.0,30.0,30.0,100.0,8.0,100.0,8.0,200.0,0.0,100.0,68158.0,100.0,59150477360.0,100.0,503110787429.0
2023-12-18,ZA12P8DY,ST8000DM002,8001563222016.0,0.0,71.0,13472928.0,89.0,0.0,100.0,6.0,99.0,4992.0,91.0,1296112356.0,27.0,64706.0,100.0,0.0,100.0,6.0,73.0,27.0,100.0,0.0,68.0,32.0,100.0,5.0,85.0,31945.0,32.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,64637.0,100.0,114086916328.0,100.0,550416911064.0
2023-12-18,ZA13QZS7,ST8000DM002,8001563222016.0,0.0,82.0,143524304.0,84.0,0.0,100.0,32.0,100.0,0.0,95.0,3162339871.0,30.0,61800.0,100.0,0.0,100.0,32.0,75.0,25.0,100.0,0.0,69.0,31.0,100.0,2.0,64.0,72417.0,31.0,31.0,100.0,48.0,100.0,48.0,200.0,0.0,100.0,61655.0,100.0,110972563936.0,100.0,474581360054.0
