rank_test_score,mean_test_score,std_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
284,0.79871151935642,0.007437515364160753,entropy,30,1,4
285,0.7984377658601713,0.005052495664165988,gini,30,1,8
286,0.7972956083955245,0.007782908712204114,entropy,30,1,2
287,0.7970218027378688,0.0059996586906678195,gini,,1,8
288,0.796793523556248,0.0053374791388965245,gini,30,2,4
288,0.796793523556248,0.0053374791388965245,gini,30,2,2
290,0.7961083834752245,0.00469372458822703,gini,,2,2
290,0.7961083834752245,0.00469372458822703,gini,,2,4
292,0.7960623771142453,0.007325651030199059,entropy,,1,8
293,0.7956513660916011,0.006783225535194889,entropy,,2,2
293,0.7956513660916011,0.006783225535194889,entropy,,2,4
295,0.7944636925832009,0.007812974919721147,entropy,,1,2
296,0.7940987296506615,0.0048952424559431445,gini,30,1,4
297,0.794052921503029,0.004376752477974902,gini,30,1,2
298,0.7938244232434986,0.005954899148701647,entropy,,1,4
299,0.7924999616613658,0.006262363198545773,gini,,1,4
300,0.7895767425222189,0.005643928308434678,gini,,1,2
