mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_max_iter,param_learning_rate,param_hidden_layer_sizes,param_alpha,param_activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.575501441955566,3.6142181083420306,0.018927001953125,0.007861866004677993,adam,1000,constant,"(100,)",0.0001,tanh,"{'solver': 'adam', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'activation': 'tanh'}",0.8866598659432728,0.883266282138983,0.8811082071614184,0.886815787760584,0.878498686052109,0.8832697658112734,0.003209442336949493,1
5.3197221755981445,2.4186591904928854,0.016708183288574218,0.0021226678867080706,adam,1000,constant,"(100,)",0.001,tanh,"{'solver': 'adam', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'alpha': 0.001, 'activation': 'tanh'}",0.8857709631656497,0.884552868846494,0.8829431559877812,0.8886317810931978,0.8734779104288405,0.8830753359043927,0.005146875563911693,2
6.239936399459839,1.4409579878164578,0.014073419570922851,0.003584861927889987,adam,500,adaptive,"(100,)",0.01,tanh,"{'solver': 'adam', 'max_iter': 500, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100,), 'alpha': 0.01, 'activation': 'tanh'}",0.884237696840703,0.8846108733378824,0.8820801797046394,0.8860166264944658,0.8782315494820441,0.8830353851719469,0.0027131078472217847,3
10.006946802139282,3.2813573137831002,0.01927027702331543,0.006876732859050518,adam,100,constant,"(50,)",0.001,logistic,"{'solver': 'adam', 'max_iter': 100, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'logistic'}",0.8856460715762582,0.8860358360737424,0.8835223993738605,0.8824846420562685,0.8740717138026199,0.8823521325765498,0.0043444705960515315,4
7.52565975189209,0.957495021252092,0.01983165740966797,0.0021793348336826518,adam,100,adaptive,"(50,)",0.001,logistic,"{'solver': 'adam', 'max_iter': 100, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'logistic'}",0.8856460715762582,0.8860358360737424,0.8835223993738605,0.8824846420562685,0.8740717138026199,0.8823521325765498,0.0043444705960515315,4
8.130063343048096,2.0822951637597256,0.01598048210144043,0.004361983223709787,adam,100,adaptive,"(50, 50)",0.0001,tanh,"{'solver': 'adam', 'max_iter': 100, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50, 50), 'alpha': 0.0001, 'activation': 'tanh'}",0.8860443976222868,0.8841787291751034,0.8825752668427596,0.8859292583817713,0.872650268871084,0.8822755841786009,0.00497818752764999,6
5.740815734863281,3.3784776021422926,0.012437152862548827,0.003512450579926917,adam,500,constant,"(50,)",0.001,tanh,"{'solver': 'adam', 'max_iter': 500, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'tanh'}",0.8853976796491135,0.8848892306849325,0.8830193891284261,0.8868645040489125,0.8704235597537933,0.8821188726530356,0.005975579470170099,7
45.60515961647034,25.56799970734046,0.09030885696411133,0.012927424420829864,adam,500,adaptive,"(100, 100)",0.001,logistic,"{'solver': 'adam', 'max_iter': 500, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100, 100), 'alpha': 0.001, 'activation': 'logistic'}",0.8852308364718544,0.8848512388132667,0.8804501609782681,0.883940991405376,0.8753825566993355,0.8819711568736202,0.0037019916778669726,8
14.75997519493103,7.6422736964008635,0.04380168914794922,0.012769139496604767,adam,1000,adaptive,"(50, 50)",0.001,logistic,"{'solver': 'adam', 'max_iter': 1000, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'activation': 'logistic'}",0.8856978689449518,0.8854342802691408,0.881063880588066,0.8822188973801558,0.8728963128943341,0.8814622480153298,0.004643791215166144,9
9.906886911392212,2.6566525175741638,0.026635265350341795,0.004180753817174678,adam,100,constant,"(100,)",0.001,logistic,"{'solver': 'adam', 'max_iter': 100, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'alpha': 0.001, 'activation': 'logistic'}",0.8811254669254537,0.8837289268184516,0.8839734811456812,0.8852527979209814,0.8729342152373416,0.8814029776095819,0.004441522101232492,10
10.31025767326355,9.735385262439006,0.01234588623046875,0.0056452082693571265,adam,500,constant,"(50, 50)",0.001,tanh,"{'solver': 'adam', 'max_iter': 500, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'activation': 'tanh'}",0.8811524358033687,0.8823433472058958,0.8835040905718234,0.8855237889666066,0.8742671142997617,0.8813581553694911,0.0038276187925398134,11
20.10525436401367,2.8504552933499268,0.020673608779907225,0.0011291063467663285,adam,100,adaptive,"(100, 100)",0.0001,tanh,"{'solver': 'adam', 'max_iter': 100, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100, 100), 'alpha': 0.0001, 'activation': 'tanh'}",0.8844118173342249,0.8846903887199886,0.8770923695123114,0.8851041864743883,0.8741651848349514,0.8810927893751728,0.004561689118544905,12
16.569597578048707,3.3583152222118513,0.013414573669433594,0.0068077521877602815,adam,100,adaptive,"(100, 100)",0.001,tanh,"{'solver': 'adam', 'max_iter': 100, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100, 100), 'alpha': 0.001, 'activation': 'tanh'}",0.8850896779402284,0.879240213935975,0.8815782401493828,0.8836759962106222,0.8742526600164116,0.8807673576505242,0.0038098192759193463,13
