mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.346013021469116,0.04991295633012387,0.05508213043212891,0.0023255639145787006,0.7005887942363844,0.007512233509017869,9,950,0.7910251217944001,"OrderedDict([('colsample_bytree', 0.7005887942363844), ('learning_rate', 0.007512233509017869), ('max_depth', 9), ('n_estimators', 950), ('subsample', 0.7910251217944001)])",0.9120290870860347,0.9192092835031331,0.9254222049780136,0.9131526029020335,0.913623287006554,0.9166872930951537,0.0050247422324926575,1
4.015694236755371,0.08270261221315445,0.04497232437133789,0.0013995290622488906,0.7,0.01,9,698,0.9,"OrderedDict([('colsample_bytree', 0.7), ('learning_rate', 0.01), ('max_depth', 9), ('n_estimators', 698), ('subsample', 0.9)])",0.9120639231687068,0.9190399008736139,0.9246529950687126,0.9130553956294275,0.9142871453361396,0.91661987201532,0.0046752835469995565,2
3.932334232330322,0.08844651784108538,0.043317222595214845,0.001540407790471717,0.9,0.00848961076691518,8,758,0.772318558677188,"OrderedDict([('colsample_bytree', 0.9), ('learning_rate', 0.00848961076691518), ('max_depth', 8), ('n_estimators', 758), ('subsample', 0.772318558677188)])",0.9117801238245431,0.9188548732967867,0.9238852453544937,0.9132617003345933,0.9137225214094834,0.9163008928439801,0.004480340657751254,3
3.2694483757019044,0.0483666630980258,0.03828868865966797,0.001116078563851579,0.9,0.00933394840951289,9,515,0.7610646451509872,"OrderedDict([('colsample_bytree', 0.9), ('learning_rate', 0.00933394840951289), ('max_depth', 9), ('n_estimators', 515), ('subsample', 0.7610646451509872)])",0.9115614074611796,0.9187207439485343,0.9237837617962903,0.9128413727502566,0.914116954682956,0.9162048481278434,0.004494518240078792,4
12.543733072280883,0.5906458512419025,0.10135235786437988,0.010816905572253798,0.894857373427473,0.007565894863730726,13,806,0.7019487616629141,"OrderedDict([('colsample_bytree', 0.894857373427473), ('learning_rate', 0.007565894863730726), ('max_depth', 13), ('n_estimators', 806), ('subsample', 0.7019487616629141)])",0.9114327016946607,0.9169637120662177,0.9256506212087077,0.9124016454312582,0.9119954671477779,0.9156888295097245,0.005355814561153253,5
2.032052421569824,0.05031771052857329,0.0354306697845459,0.0040766401669170334,0.7,0.01,15,100,0.9,"OrderedDict([('colsample_bytree', 0.7), ('learning_rate', 0.01), ('max_depth', 15), ('n_estimators', 100), ('subsample', 0.9)])",0.9102916635376772,0.9168102872829526,0.9252820262501356,0.911403289193722,0.9140714592048518,0.9155717450938677,0.005354058095840503,6
3.573574590682983,0.04591116069941161,0.04065051078796387,0.005495177408726706,0.7574018859292424,0.0033599375400275577,15,244,0.7734451544636318,"OrderedDict([('colsample_bytree', 0.7574018859292424), ('learning_rate', 0.0033599375400275577), ('max_depth', 15), ('n_estimators', 244), ('subsample', 0.7734451544636318)])",0.9103880364130934,0.9169493187146944,0.9242976461655278,0.9115681869383463,0.9142699280107103,0.9154946232484743,0.004951835235703815,7
10.142071056365968,0.7742072371192344,0.07404279708862305,0.003002704940351992,0.7537667665795778,0.004920311685935228,17,592,0.7637536353320729,"OrderedDict([('colsample_bytree', 0.7537667665795778), ('learning_rate', 0.004920311685935228), ('max_depth', 17), ('n_estimators', 592), ('subsample', 0.7637536353320729)])",0.9112969035520289,0.916575717372984,0.9251935801480221,0.9114285297087121,0.9128287856985592,0.9154647032960612,0.005224838956257554,8
19.856879949569702,1.5932198096580321,0.12828655242919923,0.01573965428367105,0.8431092046180599,0.001,16,1000,0.7,"OrderedDict([('colsample_bytree', 0.8431092046180599), ('learning_rate', 0.001), ('max_depth', 16), ('n_estimators', 1000), ('subsample', 0.7)])",0.9101084090548783,0.9164908174589267,0.9246184718849866,0.9116805176600165,0.9133444706820252,0.9152485373481667,0.005140351862148787,9
2.0040352821350096,0.05923185703092012,0.034865283966064455,0.0016665751573338222,0.7,0.01,16,100,0.7,"OrderedDict([('colsample_bytree', 0.7), ('learning_rate', 0.01), ('max_depth', 16), ('n_estimators', 100), ('subsample', 0.7)])",0.9103513229367444,0.915669249125969,0.9250093869683846,0.9110414737123165,0.9138728860515665,0.9151888637589962,0.0052727201507313404,10
22.55642352104187,1.270116802671482,0.10998578071594238,0.0036124872662752143,0.7,0.001,50,1000,0.7,"OrderedDict([('colsample_bytree', 0.7), ('learning_rate', 0.001), ('max_depth', 50), ('n_estimators', 1000), ('subsample', 0.7)])",0.9096425025240515,0.9162125459961451,0.9250922008894675,0.9112572696855157,0.9128521595221721,0.9150113357234704,0.005489010333802507,11
11.824302005767823,0.7163670725043858,0.08589439392089844,0.010210613249493588,0.7154240242752049,0.007224117696238732,20,409,0.7201033475972254,"OrderedDict([('colsample_bytree', 0.7154240242752049), ('learning_rate', 0.007224117696238732), ('max_depth', 20), ('n_estimators', 409), ('subsample', 0.7201033475972254)])",0.9103749989570035,0.9157048153061821,0.9247866029187213,0.9114462606489941,0.9118913284157868,0.9148408012493376,0.005288311207457276,12
19.948773527145384,0.13127430599889922,0.10417699813842773,0.009174737831509532,0.713650797479426,0.002042887270342414,19,989,0.8990815062848666,"OrderedDict([('colsample_bytree', 0.713650797479426), ('learning_rate', 0.002042887270342414), ('max_depth', 19), ('n_estimators', 989), ('subsample', 0.8990815062848666)])",0.9096142373192486,0.9158541724031474,0.9251535290829139,0.9111802965447613,0.9122705269649403,0.9148145524630023,0.005562344947509817,13
