mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06321420669555664,0.005015251005761241,2.4165579319000243,0.17546870289547675,uniform,2,39,36,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 39, 'leaf_size': 36, 'algorithm': 'ball_tree'}",0.8792703933945941,0.8734730478171049,0.8694537445782926,0.8786666769452681,0.8643752451874731,0.8730478215845465,0.005632117252592006,1
0.12480454444885254,0.016930596946097075,2.2213196754455566,0.07823334107489818,uniform,2,56,10,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 56, 'leaf_size': 10, 'algorithm': 'kd_tree'}",0.8789356368465078,0.8746760524069509,0.8687399154368898,0.8768935111188771,0.8657447617677139,0.8729979755153879,0.004979701739595923,2
0.07086014747619629,0.007264933525890286,2.0858973979949953,0.06478966023624304,uniform,2,41,9,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 41, 'leaf_size': 9, 'algorithm': 'ball_tree'}",0.8795358013994707,0.8730262420024435,0.8693367181418814,0.8782598156361512,0.8644734272454889,0.8729264008850872,0.005594247793291394,3
0.06627182960510254,0.011825258708160846,2.3899815559387205,0.0681568413233703,uniform,2,40,46,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 40, 'leaf_size': 46, 'algorithm': 'ball_tree'}",0.8794441928300455,0.8732320402255797,0.869224723949305,0.8783894759112408,0.8642494393879435,0.872907974460823,0.005681735496833054,4
0.10989727973937988,0.02079669870292405,1.716704511642456,0.049678246146573526,uniform,2,40,30,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 40, 'leaf_size': 30, 'algorithm': 'kd_tree'}",0.8794441928300455,0.8732320402255797,0.869224723949305,0.8783894759112408,0.8642494393879435,0.872907974460823,0.005681735496833054,4
0.06435303688049317,0.006536688555486164,2.3920814037322997,0.15564028650498085,uniform,2,57,40,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 57, 'leaf_size': 40, 'algorithm': 'ball_tree'}",0.8788012205343606,0.8747223917884476,0.8685935520896125,0.8766123485405243,0.8657033261554433,0.8728865678216776,0.004944972259271584,6
0.09084086418151856,0.012654166816332064,1.5562078952789307,0.042898948262749495,uniform,2,38,23,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 38, 'leaf_size': 23, 'algorithm': 'kd_tree'}",0.8789566126404414,0.8731469598369197,0.87004166055481,0.8781316543237795,0.8635328281400699,0.8727619430992041,0.005655660302723901,7
0.11009101867675782,0.007371409652949775,2.040150022506714,0.05909906908196481,uniform,2,42,16,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 42, 'leaf_size': 16, 'algorithm': 'kd_tree'}",0.8794064149970934,0.872993601098618,0.8687929146006808,0.8780451427612093,0.8645639003523847,0.8727603947619972,0.005569128316229963,8
0.059022378921508786,0.007379502842738369,2.33205041885376,0.02490191786194932,uniform,2,52,38,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 52, 'leaf_size': 38, 'algorithm': 'ball_tree'}",0.8789939623959666,0.8736105676905994,0.8683594992167901,0.8766256250674533,0.8661990545399726,0.8727577417821564,0.0048360975318429405,9
0.11614017486572266,0.0042060806993191886,2.0780531406402587,0.07054881565557516,uniform,2,53,14,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 53, 'leaf_size': 14, 'algorithm': 'kd_tree'}",0.8790033800993654,0.8739105429477242,0.8683903350939048,0.8764764782770323,0.8658571839715489,0.8727275840779152,0.004916367388174759,10
0.10551924705505371,0.031376652702183726,2.374620723724365,0.1296400047944151,uniform,2,51,4,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 51, 'leaf_size': 4, 'algorithm': 'ball_tree'}",0.879003487118722,0.8732688548843206,0.8679946080042656,0.8767473622538916,0.8664453127007539,0.8726919249923908,0.004851807662421679,11
0.08305015563964843,0.0026834557479826797,1.54388427734375,0.025256652541422505,uniform,2,36,56,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 36, 'leaf_size': 56, 'algorithm': 'kd_tree'}",0.8792157065032667,0.8731913728699936,0.869104485442361,0.8779752268573006,0.8636878637125965,0.8726349310771037,0.005738450182816917,12
0.06312146186828613,0.0061074865480994795,2.2004693508148194,0.07181682103268949,uniform,2,36,33,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 36, 'leaf_size': 33, 'algorithm': 'ball_tree'}",0.8792157065032667,0.8731913728699936,0.869104485442361,0.8779752268573006,0.8636878637125965,0.8726349310771037,0.005738450182816917,12
0.08040909767150879,0.0067896882562915786,1.4872278690338134,0.02220793697462546,uniform,2,45,60,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 45, 'leaf_size': 60, 'algorithm': 'kd_tree'}",0.8787896624438257,0.8729724112659706,0.8678691231154515,0.8774809974354888,0.865421521164497,0.8725067430850467,0.005218103439227005,14
0.07229785919189453,0.014315437253394616,2.2934671878814696,0.060825430119718464,uniform,1,53,26,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 53, 'leaf_size': 26, 'algorithm': 'ball_tree'}",0.8797938250687277,0.8736879426855694,0.8652945415144057,0.8799130644451183,0.8638015707416183,0.8724981888910879,0.006886884688667176,15
