mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46.32324271202087,3.5181970839311343,0.006558799743652343,0.008032878462131054,liblinear,l1,10.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 10}",0.8455443132910336,0.8376822432627035,0.841360975698545,0.8419380217460946,0.8394970680289241,0.8412045244054601,0.002635076266583788,1
46.67301940917969,3.0191987936917637,0.00658564567565918,0.008065915907426347,liblinear,l1,100.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 100}",0.8450911933343208,0.8371831049825644,0.8405506773721408,0.843456042704163,0.838086758249006,0.8408735553284391,0.003031422876683408,2
1.176966667175293,0.14015424583557132,0.0,0.0,liblinear,l1,0.1,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}",0.8423176796833597,0.8347073191822352,0.8418997469959109,0.8399050000256965,0.8366402592263297,0.8390940010227064,0.0029727381428225853,3
1.3520392894744873,0.2536420641955334,0.01171250343322754,0.004901130777658135,liblinear,l1,1.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1}",0.8429356094495524,0.8342794557937284,0.8413035867050258,0.8393338952302148,0.8373914536854782,0.8390488001727998,0.0030254279378870413,4
1.298700761795044,0.14474719213299153,0.0031703948974609376,0.006340789794921876,sag,l2,1.0,"{'solver': 'sag', 'penalty': 'l2', 'C': 1}",0.5235190019289169,0.5377921735460136,0.5411454457657952,0.5427384250098931,0.5490437046135503,0.5388477501728338,0.008490689105405794,5
1.1496529579162598,0.11951593007495381,0.0032948017120361327,0.0065896034240722655,sag,l2,10.0,"{'solver': 'sag', 'penalty': 'l2', 'C': 10}",0.5235190019289169,0.5377921735460136,0.5411454457657952,0.5427384250098931,0.5490437046135503,0.5388477501728338,0.008490689105405794,5
1.1188022136688232,0.1429072523181719,0.0047721385955810545,0.006104822991840978,sag,l2,100.0,"{'solver': 'sag', 'penalty': 'l2', 'C': 100}",0.5235190019289169,0.5377921735460136,0.5411454457657952,0.5427384250098931,0.5490437046135503,0.5388477501728338,0.008490689105405794,5
1.1129686832427979,0.07424324703860932,0.003107929229736328,0.006215858459472657,sag,l2,0.1,"{'solver': 'sag', 'penalty': 'l2', 'C': 0.1}",0.5235190019289169,0.5377921735460136,0.5411454457657952,0.5427384250098931,0.5490437046135503,0.5388477501728338,0.008490689105405794,5
1.4891572952270509,0.07146988892270245,0.006857109069824219,0.006873744283463063,saga,l1,10.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 10}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
1.3475356578826905,0.1760472805271796,0.00535435676574707,0.006637574928245111,saga,l2,1.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 1}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
1.5339859008789063,0.12689055957749557,0.0034981727600097655,0.006138315978303644,saga,l1,1.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 1}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
1.1848848342895508,0.0859494908881907,0.00501866340637207,0.0060604345867758345,saga,l2,100.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 100}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
1.5657845497131349,0.14403427691324872,0.000899648666381836,0.0017992973327636717,saga,l1,100.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 100}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
1.1880072593688964,0.1416907802918044,0.0017742156982421876,0.0022110233610301497,saga,l2,10.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 10}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
1.4016517639160155,0.11417112717343021,0.010311079025268555,0.0088853645268205,saga,l1,0.1,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.1}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
1.3217013835906983,0.14272114188114665,0.004494905471801758,0.005575415849022353,saga,l2,0.1,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.1}",0.5201224215826364,0.5357481038310361,0.5403394302001012,0.5406263865405141,0.5443121217260513,0.5362296927760678,0.008499677978548045,9
0.056739521026611325,0.0023997952524527516,0.004721164703369141,0.0009690864814242445,liblinear,l2,0.1,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.1}",0.5213381614759426,0.5353996488052787,0.5382198919245335,0.538291430901245,0.5435290207747667,0.5353556307763533,0.007484899485487835,17
0.06877880096435547,0.03219797187192411,0.002602100372314453,0.0029497994009290663,liblinear,l2,10.0,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 10}",0.5213381614759426,0.5353996488052787,0.5382198919245335,0.538291430901245,0.5435290207747667,0.5353556307763533,0.007484899485487835,17
