day_minus_0,day_minus_1,day_minus_2,day_minus_7,feature
0.5774480913773048,0.5281986362877953,0.49827157933821437,0.4811553610582749,smart_187_normalized
0.14194206393180822,0.1383416328270875,0.1440616509085985,0.09729669123717895,smart_197_raw
0.08406510192118587,0.10892873574262911,0.12132923994296888,0.14997682697412892,smart_5_raw
0.02743121531646715,0.03697377412501534,0.028610279636717625,0.019767220549263956,smart_242_raw
0.025355775579145645,0.020754523554169083,0.030978624230363648,0.04428437822189367,smart_240_raw
0.02462834837852202,0.034132728421056135,0.0352953279707058,0.04979091574005148,smart_241_raw
0.01615193832766215,0.024938002676108947,0.019926738512465344,0.015937438949733797,smart_192_raw
0.015723782347543392,0.01539764766715087,0.017465676511139488,0.015986323034954685,smart_187_raw
0.01346119339148945,0.015561317936123049,0.02003404127145462,0.030864419680324492,smart_193_raw
0.013266417694470348,0.01461219462322421,0.014830111783173195,0.004406168725954951,smart_9_raw
0.00978074790270661,0.006256633083580935,0.0007248656964898087,0.007330659371031109,smart_198_raw
0.00906178807161627,0.008497947373534607,0.011598918675554912,0.010420814577378338,smart_7_raw
0.006791451367592837,0.005397472085912907,0.0036314805948764006,0.01159112583609153,smart_12_raw
0.004945971663760137,0.003559259513732739,0.0026521259275786623,0.0022920511009110285,smart_199_raw
0.004412417189567457,0.003420107385116191,0.003876585243801761,0.008140758984956682,smart_1_raw
0.003937424187762924,0.010054953546378335,0.009914014436040907,0.01951414916003194,model
0.0039042369211570727,0.006368635006751338,0.007585289315063068,0.008101541854438718,smart_4_raw
0.003068366926075955,0.0005143848743084703,0.006807638670271183,0.001579712584788397,smart_1_normalized
0.0030400836024526414,0.0011950664054277444,0.00032695221836486247,0.004666760179453203,smart_3_normalized
0.0022620579484836714,0.0017183404181965606,0.0,0.0013710904946618052,smart_190_raw
0.0018714653924596751,0.0008679093991964638,0.0016422774040647837,0.0008984608582065126,smart_9_normalized
0.0018201531404104662,0.0,0.0014595004305246425,0.0015953722707886925,smart_193_normalized
0.0016710877758673657,0.0010332303707371229,0.001388191577636472,0.0006994290415847157,capacity_bytes
0.0013758642110969037,0.0018185883610116554,0.0009192849292959793,0.0021237541083953346,smart_194_normalized
0.0009146621518434496,0.005159780465779075,0.004914386261863926,0.0,smart_188_raw
0.0007939652498591561,0.00293693669928636,0.006593641409117541,0.0032641085439424193,smart_190_normalized
0.0005398953488656576,0.001486353023676219,0.003081725252703213,0.0016944474843731685,smart_7_normalized
0.00033443268282261444,0.0,0.0,0.0009847654220975716,smart_5_normalized
0.0,0.0,0.0,0.0,smart_241_normalized
0.0,0.0,0.0,0.0,smart_197_normalized
0.0,0.001875208127013627,0.0020798518509504314,0.004265253955108928,smart_194_raw
0.0,0.0,0.0,0.0,smart_192_normalized
0.0,0.0,0.0,0.0,smart_10_normalized
0.0,0.0,0.0,0.0,smart_10_raw
0.0,0.0,0.0,0.0,smart_3_raw
0.0,0.0,0.0,0.0,smart_4_normalized
0.0,0.0,0.0,0.0,smart_12_normalized
0.0,0.0,0.0,0.0,smart_188_normalized
0.0,0.0,0.0,0.0,smart_198_normalized
0.0,0.0,0.0,0.0,smart_240_normalized
0.0,0.0,0.0,0.0,smart_242_normalized
0.0,0.0,0.0,0.0,smart_199_normalized
